V1	V2	V3	V4	V5	V6	V7
192.168.1.155	239.255.255.250	3	SSDP	175	0	3.00592550000002
192.168.1.155	192.168.1.238	3704	TCP	60.7489200863931	1.56715681091032	3.19999999192078e-05
192.168.1.155	192.168.1.238	4	NBSS	109.5	33	37.2018949999999
192.168.1.155	192.168.1.238	1545	SMB	224.179935275081	36.8491180179454	0.00145449999996572
192.168.1.155	192.168.1.238	2	ICMP	74	0	0.00152300000002015
192.168.1.155	192.168.1.238	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.238	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.238	1	HTTP	66	NA	NA
192.168.1.155	192.168.1.238	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.238	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.245	3681	TCP	60.7576745449606	1.5845591293062	3.19999999192078e-05
192.168.1.155	192.168.1.245	5	NBSS	112.8	29.5160973029972	10.5110055
192.168.1.155	192.168.1.245	1545	SMB	224.179935275081	36.8491180179454	0.00143100000002505
192.168.1.155	192.168.1.245	3	ICMP	74	0	10.4821965
192.168.1.155	192.168.1.245	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.245	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.245	1	HTTP	66	NA	NA
192.168.1.155	192.168.1.245	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.245	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.236	12	TCP	67	21.7506530727449	0.000134000000002743
192.168.1.155	192.168.1.236	12	SMB	156.416666666667	69.5053409763769	0.000608999999940352
192.168.1.155	192.168.1.236	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.236	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.236	1	HTTP	66	NA	NA
192.168.1.155	192.168.1.240	9	TCP	60.6666666666667	1	0.000259499999970103
192.168.1.155	192.168.1.240	10	SMB	166.1	72.5357383179721	0.00131800000008298
192.168.1.155	192.168.1.243	3638	TCP	60.763056624519	1.57811493392018	3.10000000354194e-05
192.168.1.155	192.168.1.243	4	NBSS	126	0	0.0620049999999992
192.168.1.155	192.168.1.243	1539	SMB	224.455490578298	36.3865758293931	0.00144399999999223
192.168.1.155	192.168.1.243	2	ICMP	74	0	0.108347999999978
192.168.1.155	192.168.1.243	2	HTTP	130	90.5096679918781	3.39176399999997
192.168.1.155	192.168.1.243	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.243	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.5.1	2	DNS	88	0	0.0753349999999955
192.168.1.155	192.168.1.242	3693	TCP	60.7324668291362	1.57888261804242	3.10000000354194e-05
192.168.1.155	192.168.1.242	1545	SMB	224.179935275081	36.8491180179454	0.00143450000001621
192.168.1.155	192.168.1.242	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.242	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.242	1	HTTP	66	NA	NA
192.168.1.155	192.168.1.242	5	NBSS	112.8	29.5160973029972	10.565122
192.168.1.155	192.168.1.242	2	ICMP	74	0	21.068133
192.168.1.155	192.168.1.242	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.242	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.52	3793	TCP	60.8004218296863	0.980011103478456	2.80000000429936e-05
192.168.1.155	192.168.1.52	3	NBSS	104	38.1051177665153	105.896902
192.168.1.155	192.168.1.52	1533	SMB	224.710371819961	36.0216192435813	0.00205199999999195
192.168.1.155	192.168.1.52	2	ICMP	74	0	0.00101899999992838
192.168.1.155	192.168.1.52	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.52	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.36	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.36	3787	TCP	60.7979931344072	0.979513439891471	3.39999999141583e-05
192.168.1.155	192.168.1.36	5	NBSS	112.8	29.5160973029972	0.066530000000057
192.168.1.155	192.168.1.36	1533	SMB	224.710371819961	36.0216192435813	0.00205149999999321
192.168.1.155	192.168.1.36	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.36	2	ICMP	74	0	0.0710799999999381
192.168.1.155	192.168.1.36	1	HTTP	194	NA	NA
192.168.1.155	192.168.1.9	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.9	3624	TCP	60.703642384106	0.955208844238213	3.2999999916683e-05
192.168.1.155	192.168.1.9	5	NBSS	112.8	29.5160973029972	10.5575595
192.168.1.155	192.168.1.9	1533	SMB	224.710371819961	36.0216192435813	0.00141550000006418
192.168.1.155	192.168.1.9	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.9	3	ICMP	74	0	10.530934
192.168.1.155	192.168.1.71	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.71	3651	TCP	60.7208983840044	0.960393106343676	3.40000001415319e-05
192.168.1.155	192.168.1.71	6	NBSS	115	26.944387170615	11.2495630000001
192.168.1.155	192.168.1.71	1533	SMB	224.710371819961	36.0216192435813	0.00141949999999724
192.168.1.155	192.168.1.71	1	LANMAN	184	NA	NA
192.168.1.155	192.168.1.71	2	ICMP	74	0	0.000327000000083899
192.168.1.239	192.168.1.155	3179	TCP	61.5960994023278	0.803036957509122	0.00270499999999885
192.168.1.239	192.168.1.155	1284	SMB	220.259345794393	78.2376051947021	0.00158800000000525
192.168.1.239	192.168.1.155	1	UDP	285	NA	NA
192.168.1.239	192.168.1.155	1	DCERPC	186	NA	NA
192.168.1.239	192.168.1.155	1	SRVSVC	950	NA	NA
192.168.1.239	192.168.1.155	1	HTTP	258	NA	NA
192.168.1.239	193.35.157.15	46	TCP	60.4782608695652	0.862531942977769	0.266397000000005
192.168.1.239	193.35.157.15	101	SMTP	80	14.2147810394673	0.158376500000001
192.168.1.239	193.35.157.15	12	SMTP/IMF	741.75	41.5082138640272	1.325942
192.168.1.239	81.136.161.112	24	TCP	62	0	0.328098000000001
192.168.1.239	72.34.41.194	16	TCP	60.5	0.894427190999916	0.265433
192.168.1.239	72.34.41.194	12	SMTP	90.1666666666667	3.78593889720018	0.264282
192.168.1.239	192.168.1.243	641	SMB	189.138845553822	94.4287317466997	0.00127399999999511
192.168.1.239	192.168.1.243	267	TCP	147.131086142322	345.752086484253	1.505883
192.168.1.239	195.129.12.217	24	TCP	60.25	0.675663924692176	0.107507
192.168.1.239	195.129.12.217	9	SMTP	88.5555555555556	3.46810867444747	0.2858605
192.168.1.239	200.51.43.5	372	DNS	81.7849462365591	10.849968723038	0.154953000000006
192.168.1.239	79.170.40.24	4	TCP	60.5	1	0.29792
192.168.1.239	212.11.70.76	15	TCP	60.5333333333333	0.915475416434127	2.0188125
192.168.1.239	212.11.70.76	6	SMTP	89.3333333333333	5.60951572479003	0.801341000000001
192.168.1.239	195.2.244.41	30	TCP	66.2666666666667	12.8517631510993	0.983844999999999
192.168.1.239	195.2.244.41	9	SMTP	93.6666666666667	7.51664818918645	3.203404
192.168.1.239	79.135.125.71	12	TCP	60.6666666666667	0.984731927834662	1.795442
192.168.1.239	79.135.125.71	3	SMTP	91	7.81024967590665	0.304483999999999
192.168.1.239	82.198.233.86	12	TCP	60.5	0.904534033733291	0.283811999999998
192.168.1.239	82.198.233.86	17	SMTP	89.5882352941177	15.1577489404323	0.269565999999999
192.168.1.239	82.198.233.86	1	SMTP/IMF	882	NA	NA
192.168.1.239	82.198.233.84	12	TCP	60.5	0.904534033733291	0.275742000000001
192.168.1.239	82.198.233.84	9	SMTP	94.1111111111111	6.15313831399158	0.287035000000001
192.168.1.239	212.53.64.68	126	TCP	60.5555555555556	0.899382504215469	0.275705000000002
192.168.1.239	212.53.64.82	120	TCP	60.5	0.869656553478673	0.275791999999996
192.168.1.239	192.168.5.1	193	DNS	80.7305699481865	3.35719814145176	1.573059
192.168.1.239	85.234.68.135	12	TCP	62	0	6.015291
192.168.1.239	217.12.11.64	226	TCP	60.5132743362832	0.875493960867934	0.118947999999989
192.168.1.239	217.12.11.64	7	SMTP	85.4285714285714	11.4288690437439	0.283034000000015
192.168.1.239	217.12.11.64	1	SMTP/IMF	721	NA	NA
192.168.1.239	77.238.177.142	224	TCP	60.5	0.867964992784589	0.126276000000018
192.168.1.239	194.116.198.80	16	TCP	60.5	0.894427190999916	0.286833999999999
192.168.1.239	194.116.198.80	12	SMTP	93.75	7.44830670201441	0.289703000000003
192.168.1.239	194.116.199.80	16	TCP	60.5	0.894427190999916	0.288280999999998
192.168.1.239	194.116.199.80	12	SMTP	93.75	7.44830670201441	0.279381000000001
192.168.1.239	217.68.241.223	4	TCP	60.5	1	0.277245999999991
192.168.1.239	217.68.241.223	8	SMTP	80.25	17.4335472990603	0.28022
192.168.1.239	217.68.241.223	1	SMTP/IMF	715	NA	NA
192.168.1.239	193.252.22.153	8	TCP	60.5	0.925820099772551	0.315815999999984
192.168.1.239	216.120.232.254	8	TCP	60.5	0.925820099772551	0.235362000000009
192.168.1.239	216.120.232.254	6	SMTP	90.1666666666667	5.38206899497458	0.236662999999993
192.168.1.239	81.21.76.58	4	TCP	60.5	1	0.287768
192.168.1.239	81.21.76.58	3	SMTP	86.6666666666667	0.577350269189626	0.292125500000004
192.168.1.239	81.21.76.59	4	TCP	60.5	1	0.279317000000006
192.168.1.239	81.21.76.59	3	SMTP	86.6666666666667	0.577350269189626	0.280573000000004
192.168.1.239	216.120.241.254	8	TCP	60.5	0.925820099772551	0.230564000000015
192.168.1.239	216.120.241.254	6	SMTP	90.1666666666667	5.38206899497458	0.229042000000021
192.168.1.239	216.120.251.187	16	TCP	60.5	0.894427190999916	0.235506999999998
192.168.1.239	216.120.251.187	12	SMTP	90.1666666666667	5.13160143944688	0.236102000000002
192.168.1.239	81.91.102.6	185	TCP	60.4	0.802170967356439	0.145676000000009
192.168.1.239	81.91.102.6	111	SMTP	90.9279279279279	5.72984485227323	0.280153000000013
192.168.1.239	80.168.69.104	4	TCP	60.5	1	0.305532999999997
192.168.1.239	80.168.44.35	436	TCP	60.5	0.867020263852601	0.025667999999996
192.168.1.239	212.227.15.150	8	TCP	60.5	0.925820099772551	0.290523000000007
192.168.1.239	85.17.167.196	24	TCP	133.166666666667	247.304717278918	0.169978000000015
192.168.1.239	85.115.58.190	153	TCP	64.7516339869281	52.2717193646702	0.306573
192.168.1.239	85.115.58.190	184	SMTP	83.7989130434783	12.3738574639781	0.282133999999985
192.168.1.239	85.115.58.190	21	SMTP/IMF	742.380952380952	26.8541918338203	2.60744
192.168.1.239	85.115.54.190	182	TCP	60.4945054945055	0.865210048569964	0.285542000000021
192.168.1.239	85.115.54.190	217	SMTP	83.5760368663594	12.8612602688204	0.292024000000012
192.168.1.239	85.115.54.190	22	SMTP/IMF	750.5	39.0100719595044	3.38381799999999
192.168.1.239	213.171.216.1	236	TCP	60.5	0.867866054965685	0.118534000000011
192.168.1.239	213.171.216.1	177	SMTP	87.8813559322034	4.96951414911702	0.184531499999991
192.168.1.239	194.193.194.199	290	TCP	60.5103448275862	0.873423375456155	0.315366999999981
192.168.1.239	194.193.194.199	216	SMTP	88.3564814814815	4.47294238828959	0.318099000000018
192.168.1.239	82.163.227.97	264	TCP	61.6287878787879	0.779053759965996	0.546845000000019
192.168.1.239	213.208.106.216	252	TCP	60.5	0.867748839128446	0.250254000000041
192.168.1.239	195.149.33.73	252	TCP	60.5	0.867748839128446	0.242032999999992
192.168.1.239	192.168.1.255	2	BROWSER	243	0	233.362876
192.168.1.239	192.168.1.255	155	NBNS	92	0	0.0469454999999925
192.168.1.239	80.168.44.10	204	TCP	60.4019607843137	0.803438471673406	0.0676560000000563
192.168.1.239	80.168.44.10	123	SMTP	89	4.50318648565548	0.260215000000017
192.168.1.239	216.163.188.58	20	TCP	60.5	0.888523316638639	0.259466999999972
192.168.1.239	216.163.188.58	82	SMTP	82.609756097561	15.5036882091948	0.130199999999945
192.168.1.239	216.163.188.58	10	SMTP/IMF	744.9	37.8401609110979	1.23971700000004
192.168.1.239	83.170.81.160	10	TCP	60.4	0.843274042711568	0.301473999999985
192.168.1.239	83.170.81.160	6	SMTP	90.5	4.23083916026124	0.299743000000035
192.168.1.239	216.82.248.44	33	TCP	62	0	0.383032500000013
192.168.1.239	85.158.137.67	33	TCP	62	0	0.437464999999975
192.168.1.239	213.171.216.65	60	TCP	60.5	0.873333764609373	0.196258000000057
192.168.1.239	213.171.216.65	45	SMTP	92.0222222222222	5.82505906676603	0.274390500000038
192.168.1.239	212.50.160.75	4	TCP	60.5	1	0.281682000000046
192.168.1.239	195.188.53.46	220	TCP	60.4454545454545	0.834051164471589	0.23442399999999
192.168.1.239	195.188.53.46	134	SMTP	90.0671641791045	4.074859213757	0.29972100000009
192.168.1.239	195.188.52.253	184	TCP	60.5	0.86838836971469	0.279365999999982
192.168.1.239	195.188.52.252	184	TCP	60.5	0.86838836971469	0.279020999999943
192.168.1.239	128.30.52.51	4	TCP	60.5	1	0.240166999999929
192.168.1.239	128.30.52.51	1	HTTP	242	NA	NA
192.168.1.239	221.7.91.31	31	TCP	60.5806451612903	0.922828750758128	0.436020999999982
192.168.1.239	221.7.91.31	9	HTTP	253	0	8.13316399999997
192.168.1.239	97.74.200.45	22	TCP	61.5454545454545	0.857864054457777	2.65417000000002
192.168.1.239	97.74.200.45	3	HTTP	254	0	25.811123
192.168.1.239	192.168.1.157	56	NBNS	93.2857142857143	4.67766175353878	0.0521219999999403
192.168.1.239	205.188.161.4	20	TCP	70.35	43.472041832109	0.725792999999953
192.168.1.239	205.188.161.4	4	HTTP	255	0	24.9758559999999
192.168.1.239	143.215.143.11	17	TCP	61.4117647058824	0.939336436627724	2.96756050000005
192.168.1.239	143.215.143.11	3	HTTP	256	0	33.926799
192.168.1.239	149.20.56.32	22	TCP	60.5454545454545	0.911684611677104	0.127954999999929
192.168.1.239	149.20.56.32	6	HTTP	254	0	7.87574199999995
192.168.1.239	83.68.16.6	35	TCP	60.6857142857143	0.963187983955871	0.0443715000000111
192.168.1.239	83.68.16.6	6	HTTP	252	0	7.913635
192.168.1.239	199.2.137.252	20	TCP	60.6	0.940324691963255	0.0422410000001037
192.168.1.239	199.2.137.252	6	HTTP	255	0	7.28827100000001
192.168.1.239	10.230.189.5	2	TCP	62	0	1.44759999999997
192.168.1.239	217.74.65.162	1	TCP	60	NA	NA
192.168.1.239	69.50.218.251	1	TCP	60	NA	NA
192.168.1.239	195.238.0.64	1	TCP	60	NA	NA
192.168.1.239	74.208.156.109	1	TCP	60	NA	NA
192.168.1.239	68.142.226.230	1	TCP	60	NA	NA
192.168.1.239	216.129.98.156	1	TCP	60	NA	NA
192.168.1.239	74.208.64.145	5	TCP	61.6	0.894427190999916	1.481112
192.168.1.239	74.208.64.145	1	HTTP	255	NA	NA
192.168.1.239	224.0.0.22	2	IGMPv3	60	0	0.935125000000085
192.168.1.55	224.0.0.251	123	MDNS	87.2926829268293	4.88512581396965	1.00176299999999
217.146.188.189	192.168.1.243	291	TCP	60.0343642611684	0.260346966024825	0.0321989999999995
217.146.188.189	192.168.1.243	97	SMTP	202	0	0.2038105
217.146.188.189	192.168.1.247	426	TCP	60.0328638497653	0.25455800727252	0.0325900000000026
217.146.188.189	192.168.1.247	142	SMTP	202	0	0.186055999999997
192.168.1.243	217.146.188.189	381	TCP	60.4829396325459	0.857074441911413	0.0152300000000002
192.168.1.243	217.27.240.22	49	TCP	60.3265306122449	0.746875578159911	0.141928
192.168.1.243	217.27.240.22	27	SMTP	88.2592592592593	4.40796998971175	0.261917499999999
192.168.1.243	217.27.240.23	37	TCP	60.3243243243243	0.747367753223645	0.1710265
192.168.1.243	217.27.240.23	23	SMTP	88.3478260869565	4.57869270397898	0.195906
192.168.1.243	192.168.1.236	642	SMB	276.890965732087	297.75813501857	0.00130200000000968
192.168.1.243	192.168.1.236	542	TCP	1463.82472324723	263.723306062006	0.000216000000023087
192.168.1.243	192.168.1.239	652	SMB	293.226993865031	312.583035739001	0.00133600000003753
192.168.1.243	192.168.1.239	498	TCP	1458.9718875502	273.543104818995	0.000208999999927073
192.168.1.243	192.168.1.91	878	SMB	254.430523917995	262.044512269278	0.00129200000003493
192.168.1.243	192.168.1.91	764	TCP	1475.07329842932	232.428108349305	0.000171999999906802
192.168.1.243	200.51.43.5	647	DNS	78.5301391035549	10.1408930829252	0.0401694999999904
192.168.1.243	195.50.106.135	261	TCP	60.5057471264368	0.870988340711385	0.0490359999999992
192.168.1.243	195.50.106.135	8	SMTP	80.5	17.7361616076148	0.287704999999999
192.168.1.243	195.50.106.135	1	SMTP/IMF	761	NA	NA
192.168.1.243	217.12.12.192	264	TCP	60.5378787878788	0.888501134844845	0.0584530000000001
192.168.1.243	194.106.220.35	107	TCP	61.6635514018692	0.751651329666572	0.201207999999994
192.168.1.243	216.82.248.45	102	TCP	61.8823529411765	0.472912141947281	0.201217
192.168.1.243	216.82.248.45	6	SMTP	89.6666666666667	3.32665998663324	0.227903999999967
192.168.1.243	192.168.1.247	349	TCP	1418.22922636103	361.07803810691	0.000131000000010317
192.168.1.243	192.168.1.247	1	ICMP	74	NA	NA
192.168.1.243	192.168.1.247	1	NBSS	60	NA	NA
192.168.1.243	192.168.1.247	520	SMB	288.340384615385	299.997163608695	0.00136100000000283
192.168.1.243	192.168.1.247	1	DCERPC	186	NA	NA
192.168.1.243	192.168.1.247	1	SRVSVC	982	NA	NA
192.168.1.243	85.17.167.196	37	TCP	96.4054054054054	142.197331483685	0.150899499999994
192.168.1.243	65.55.88.22	304	TCP	60.5	0.867453311438	0.0631900000000059
192.168.1.243	65.55.88.22	228	SMTP	91.0263157894737	5.35351262070184	0.0685739999999981
192.168.1.243	212.137.44.179	188	TCP	60.5	0.868337892290303	0.0293279999999996
192.168.1.243	192.168.1.255	7	BROWSER	228.857142857143	13.6067210283322	18.8148335
192.168.1.243	192.168.1.255	405	NBNS	92	0	0.0165645000000154
192.168.1.243	213.171.216.66	4	TCP	60.5	1	0.282787999999996
192.168.1.243	213.171.216.66	3	SMTP	87	7	0.286605000000002
192.168.1.243	195.102.249.132	48	TCP	60.5	0.875189948987367	0.0558809999999994
192.168.1.243	62.13.129.106	48	TCP	60.5	0.875189948987367	0.16653500000001
192.168.1.243	62.13.129.106	35	SMTP	90.1714285714286	5.63333416206713	0.238851500000003
192.168.1.243	80.168.44.10	30	TCP	60.4	0.813676204344972	0.166772999999992
192.168.1.243	80.168.44.10	18	SMTP	88.3888888888889	4.5262487895138	0.29199100000001
192.168.1.243	193.252.22.184	100	TCP	60.56	0.902521719708426	0.301959999999994
192.168.1.243	194.154.164.62	8	TCP	60.5	0.925820099772551	0.293934999999991
192.168.1.243	194.154.164.62	4	SMTP	90.75	4.3493294502333	0.297257000000002
192.168.1.243	80.229.33.66	56	TCP	60.5	0.873862897505303	0.325343000000004
192.168.1.243	80.229.33.66	70	SMTP	85.7571428571429	12.481215699667	0.324213999999998
192.168.1.243	80.229.33.66	5	SMTP/IMF	780.2	57.6298533747918	3.3650105
192.168.1.243	84.92.1.15	53	TCP	61.2075471698113	0.987586229264169	0.453324999999992
192.168.1.243	84.92.1.15	18	SMTP	92.2777777777778	6.14343796789383	0.294539999999984
192.168.1.243	212.159.8.1	60	TCP	60.4333333333333	0.83090040331317	0.294121999999987
192.168.1.243	212.159.8.1	134	SMTP	83.9850746268657	14.8146366735342	0.275532999999996
192.168.1.243	212.159.8.1	15	SMTP/IMF	770.4	55.8375193882086	2.36970849999999
192.168.1.243	72.1.201.197	8	TCP	60.5	0.925820099772551	0.258313999999984
192.168.1.243	72.1.201.197	6	SMTP	89.5	4.13521462562707	0.259043999999989
192.168.1.243	72.1.201.196	8	TCP	60.5	0.925820099772551	0.228904999999997
192.168.1.243	72.1.201.196	6	SMTP	89.5	4.13521462562707	0.217628000000019
192.168.1.243	88.208.245.29	250	TCP	60.4	0.801604816056202	0.0814750000000117
192.168.1.243	88.208.245.29	156	SMTP	90.8269230769231	5.76884117791261	0.132851000000016
192.168.1.243	88.208.245.29	1	SMTP/IMF	762	NA	NA
192.168.1.243	87.106.189.26	4	TCP	60.5	1	0.345422000000013
192.168.1.243	87.106.189.26	9	SMTP	81.5555555555556	16.6741649799256	0.301701000000008
192.168.1.243	87.106.189.26	1	SMTP/IMF	788	NA	NA
192.168.1.243	192.168.5.1	140	DNS	74.6928571428571	4.85308835672194	1.70779299999998
192.168.1.243	195.245.230.51	60	TCP	62	0	0.222994999999997
192.168.1.243	193.109.254.3	66	TCP	61.6363636363636	0.777300330757555	0.201259999999991
192.168.1.243	78.33.48.9	276	TCP	60.5	0.867598566577465	0.091622000000001
192.168.1.243	78.33.48.9	180	SMTP	90.1277777777778	4.42697490008514	0.0885120000000086
192.168.1.243	78.33.48.8	276	TCP	60.5	0.867598566577465	0.0875800000000027
192.168.1.243	78.33.48.8	180	SMTP	90.15	4.43131946250447	0.0968720000000189
192.168.1.243	69.175.12.154	4	TCP	60.5	1	0.223687000000012
192.168.1.243	69.175.12.154	3	SMTP	91	4.58257569495584	0.221192000000002
192.168.1.243	85.158.139.179	218	TCP	61.8348623853211	0.551725595788941	0.199273000000005
192.168.1.243	85.158.140.211	222	TCP	61.8378378378378	0.547152903105064	0.194475000000011
192.168.1.243	194.154.164.153	48	TCP	60.5	0.875189948987367	0.280988999999977
192.168.1.243	194.154.164.153	24	SMTP	89.0833333333333	4.68964322984045	0.290882000000011
192.168.1.243	89.145.76.100	19	TCP	60.4210526315789	0.837707816583391	0.289363000000009
192.168.1.243	89.145.77.78	16	TCP	60.5	0.894427190999916	0.314661000000001
192.168.1.243	89.145.77.78	18	SMTP	86.2777777777778	10.4869978632117	0.284690000000012
192.168.1.243	89.145.77.78	1	SMTP/IMF	809	NA	NA
192.168.1.243	194.154.164.158	48	TCP	60.5	0.875189948987367	0.286556000000019
192.168.1.243	194.154.164.158	24	SMTP	89.0833333333333	4.68964322984045	0.289617999999962
192.168.1.243	212.53.64.68	4	TCP	60.5	1	0.285775000000001
192.168.1.243	212.53.64.82	4	TCP	60.5	1	0.28685200000001
192.168.1.243	212.50.160.71	4	TCP	60.5	1	0.272508999999985
192.168.1.243	213.171.216.1	4	TCP	60.5	1	0.288765000000012
192.168.1.243	213.171.216.1	3	SMTP	87	3	0.289301999999992
192.168.1.243	212.74.114.145	4	TCP	60.5	1	0.30378300000001
192.168.1.243	212.74.114.146	3	TCP	62	0	4.4304425
192.168.1.243	192.168.1.157	135	NBNS	92	0	0.016379000000029
192.168.1.243	92.48.64.180	8	TCP	60.5	0.925820099772551	0.273355000000038
192.168.1.243	92.48.64.180	6	SMTP	89.1666666666667	3.06050104830347	0.27234599999997
192.168.1.243	213.171.216.105	8	TCP	60.5	0.925820099772551	0.285676000000024
192.168.1.243	213.171.216.105	6	SMTP	90.5	6.12372435695795	0.290270000000021
192.168.1.243	80.175.48.51	24	TCP	60.5	0.884651736929383	0.256784000000039
192.168.1.243	80.175.48.51	18	SMTP	90.8888888888889	4.12865009827509	0.278998999999999
192.168.1.243	217.68.23.131	4	TCP	60.5	1	0.290300000000002
192.168.1.243	217.68.23.131	2	SMTP	87.5	0.707106781186548	0.293533000000025
192.168.1.243	65.39.178.142	813	TCP	61.0627306273063	0.998644856428036	0.356957999999963
192.168.1.243	65.39.178.142	40	SMTP	88.325	4.29900107657701	0.298772999999983
192.168.1.243	216.8.179.24	42	TCP	62	0	2.216857
192.168.1.243	213.40.79.228	5	TCP	60.4	0.894427190999916	0.329197999999991
192.168.1.243	213.40.79.228	3	SMTP	88.3333333333333	5.13160143944688	0.331532999999979
192.168.1.243	65.39.178.137	307	TCP	60.7231270358306	0.96247535923913	1.00569300000001
192.168.1.243	65.39.178.137	41	SMTP	87.219512195122	8.06384584153849	0.300161000000003
192.168.1.243	65.39.178.137	1	SMTP/IMF	776	NA	NA
192.168.1.243	213.120.214.10	6	TCP	62	0	5.934369
192.168.1.243	213.120.214.5	12	TCP	62	0	5.93432000000001
192.168.1.243	65.39.178.136	301	TCP	60.8172757475083	0.984801445492029	1.08481150000006
192.168.1.243	65.39.178.136	47	SMTP	87.7234042553192	4.71676993226239	0.297378500000036
192.168.1.243	213.120.214.3	10	TCP	60.4	0.843274042711568	0.30063100000001
192.168.1.243	213.120.214.3	11	SMTP	84.7272727272727	12.7991476988971	0.301805000000002
192.168.1.243	213.120.214.3	2	SMTP/IMF	756.5	53.0330085889911	15.779051
192.168.1.243	78.32.130.235	6	TCP	62	0	0.788815999999997
192.168.1.243	213.120.214.11	6	TCP	62	0	5.73332900000003
192.168.1.243	192.168.1.155	1	UDP	285	NA	NA
192.168.1.243	192.168.1.155	3287	TCP	61.5333130514147	0.846046662198122	0.00273100000003978
192.168.1.243	192.168.1.155	4	NBSS	60	0	0.0620139999999765
192.168.1.243	192.168.1.155	1539	SMB	219.606237816764	78.4911903156219	0.00155499999993935
192.168.1.243	192.168.1.155	2	ICMP	74	0	0.108354000000077
192.168.1.243	192.168.1.155	1	DCERPC	186	NA	NA
192.168.1.243	192.168.1.155	1	SRVSVC	950	NA	NA
192.168.1.243	192.168.1.155	1	HTTP	239	NA	NA
192.168.1.243	74.125.65.147	4	TCP	60.5	1	0.187052000000108
192.168.1.243	74.125.65.147	1	HTTP	227	NA	NA
